                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.3129,                0.85433,                 1.0835,                0.88335,                0.78126,                0.86496,                0.65387,                 1.0767,                0.72337,                 1.0276,               0.007228,               0.007228,               0.007228
                     87,                 1.3096,                0.85005,                 1.0813,                 0.8864,                0.78109,                0.86602,                0.65508,                 1.0757,                0.72055,                 1.0267,               0.007195,               0.007195,               0.007195
                     88,                 1.3113,                0.85294,                 1.0807,                0.88791,                0.78218,                0.86717,                0.65589,                 1.0742,                0.71783,                 1.0257,               0.007162,               0.007162,               0.007162
                     89,                 1.3072,                0.84675,                 1.0816,                0.88919,                0.78383,                0.86856,                0.65709,                 1.0722,                0.71511,                 1.0247,               0.007129,               0.007129,               0.007129
                     90,                 1.3056,                 0.8463,                 1.0814,                0.88711,                0.78655,                0.86977,                0.65875,                 1.0701,                0.71216,                 1.0237,               0.007096,               0.007096,               0.007096
                     91,                 1.3044,                0.84447,                 1.0811,                0.88575,                0.78967,                0.87064,                0.66005,                 1.0679,                0.70946,                 1.0226,               0.007063,               0.007063,               0.007063
                     92,                 1.2621,                0.81488,                 1.0649,                0.88687,                0.79112,                0.87148,                0.66166,                 1.0656,                0.70662,                 1.0216,                0.00703,                0.00703,                0.00703
                     93,                 1.2965,                0.84137,                 1.0774,                0.88817,                0.79143,                0.87188,                 0.6625,                 1.0645,                0.70485,                 1.0208,               0.006997,               0.006997,               0.006997
                     94,                 1.3036,                 0.8475,                   1.08,                0.88713,                0.79258,                0.87264,                0.66342,                 1.0627,                0.70319,                 1.0199,               0.006964,               0.006964,               0.006964
                     95,                 1.3037,                0.84548,                 1.0806,                0.88857,                0.79289,                0.87365,                0.66427,                  1.061,                0.70155,                 1.0192,               0.006931,               0.006931,               0.006931
                     96,                 1.3042,                  0.846,                 1.0807,                0.88875,                0.79264,                0.87431,                0.66438,                 1.0605,                0.70035,                 1.0188,               0.006898,               0.006898,               0.006898
                     97,                 1.2996,                 0.8421,                 1.0789,                0.88811,                0.79452,                0.87464,                 0.6652,                 1.0589,                0.69891,                  1.018,               0.006865,               0.006865,               0.006865
                     98,                 1.2972,                0.83934,                 1.0772,                0.88917,                0.79439,                0.87513,                0.66561,                 1.0579,                0.69753,                 1.0175,               0.006832,               0.006832,               0.006832
                     99,                 1.2949,                0.83746,                 1.0761,                0.88873,                0.79425,                0.87503,                 0.6659,                 1.0573,                0.69635,                  1.017,               0.006799,               0.006799,               0.006799
                    100,                 1.2929,                0.83656,                 1.0754,                0.88939,                0.79481,                 0.8758,                0.66723,                 1.0562,                0.69497,                 1.0163,               0.006766,               0.006766,               0.006766
                    101,                  1.293,                0.83572,                 1.0753,                0.88849,                0.79771,                0.87676,                 0.6678,                 1.0561,                0.69349,                 1.0159,               0.006733,               0.006733,               0.006733
                    102,                 1.2888,                0.83096,                 1.0728,                0.88728,                0.79793,                0.87721,                0.66865,                 1.0547,                0.69182,                 1.0153,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.2878,                0.83218,                 1.0733,                0.88716,                0.79861,                0.87775,                 0.6694,                  1.054,                0.69013,                 1.0149,               0.006667,               0.006667,               0.006667
                    104,                 1.2863,                0.83005,                 1.0736,                0.88626,                0.80076,                0.87789,                0.67022,                 1.0529,                0.68861,                 1.0144,               0.006634,               0.006634,               0.006634
                    105,                 1.2822,                 0.8262,                 1.0729,                0.88746,                0.80124,                0.87868,                0.67097,                 1.0512,                0.68674,                 1.0137,               0.006601,               0.006601,               0.006601
                    106,                 1.2788,                0.82373,                 1.0709,                0.88592,                0.80469,                0.87917,                0.67161,                 1.0494,                0.68468,                 1.0129,               0.006568,               0.006568,               0.006568
                    107,                 1.2778,                0.82044,                 1.0686,                0.88826,                0.80418,                0.87973,                0.67217,                 1.0482,                0.68285,                 1.0123,               0.006535,               0.006535,               0.006535
                    108,                 1.2747,                0.81867,                 1.0683,                0.88953,                0.80469,                0.88024,                0.67279,                 1.0468,                0.68047,                 1.0116,               0.006502,               0.006502,               0.006502
                    109,                 1.2727,                0.81679,                 1.0669,                0.89007,                0.80526,                 0.8809,                0.67357,                  1.046,                0.67897,                 1.0111,               0.006469,               0.006469,               0.006469
                    110,                  1.271,                0.81364,                 1.0661,                0.88861,                0.80646,                0.88116,                0.67457,                 1.0445,                 0.6771,                 1.0103,               0.006436,               0.006436,               0.006436
                    111,                 1.2695,                0.81473,                 1.0663,                0.88963,                0.80624,                0.88155,                 0.6754,                 1.0425,                0.67524,                 1.0096,               0.006403,               0.006403,               0.006403
                    112,                 1.2627,                0.80996,                 1.0611,                0.88775,                0.80812,                0.88205,                0.67615,                  1.041,                0.67359,                 1.0089,                0.00637,                0.00637,                0.00637
                    113,                  1.262,                0.80883,                  1.063,                0.88941,                0.80832,                0.88274,                 0.6767,                  1.039,                0.67156,                 1.0082,               0.006337,               0.006337,               0.006337
                    114,                 1.2601,                0.80718,                 1.0628,                0.89024,                0.80871,                0.88323,                0.67689,                 1.0382,                0.66984,                 1.0077,               0.006304,               0.006304,               0.006304
                    115,                 1.2564,                0.80395,                 1.0603,                0.89304,                0.80743,                0.88386,                0.67801,                  1.037,                0.66801,                 1.0072,               0.006271,               0.006271,               0.006271
                    116,                 1.2579,                0.80481,                 1.0622,                0.89269,                0.80777,                0.88429,                 0.6783,                 1.0359,                0.66613,                 1.0067,               0.006238,               0.006238,               0.006238
                    117,                 1.2559,                0.80312,                 1.0606,                0.89316,                0.80915,                0.88506,                0.67955,                 1.0333,                0.66411,                 1.0059,               0.006205,               0.006205,               0.006205
                    118,                  1.253,                0.79846,                 1.0579,                0.89413,                0.80911,                0.88557,                0.68029,                 1.0323,                0.66204,                 1.0053,               0.006172,               0.006172,               0.006172
                    119,                 1.2475,                0.79768,                 1.0567,                 0.8931,                0.81143,                0.88585,                0.68137,                 1.0303,                0.66009,                 1.0047,               0.006139,               0.006139,               0.006139
                    120,                 1.2481,                0.79603,                 1.0576,                0.89073,                 0.8137,                 0.8867,                0.68189,                 1.0294,                0.65846,                 1.0041,               0.006106,               0.006106,               0.006106
                    121,                  1.244,                0.79217,                 1.0561,                 0.8935,                0.81201,                0.88742,                0.68254,                  1.028,                0.65659,                 1.0035,               0.006073,               0.006073,               0.006073
                    122,                  1.245,                0.79405,                  1.056,                0.89425,                0.81338,                0.88766,                0.68252,                 1.0277,                0.65498,                 1.0032,                0.00604,                0.00604,                0.00604
                    123,                 1.2426,                0.79102,                 1.0546,                0.89608,                0.81354,                0.88824,                0.68437,                 1.0263,                0.65321,                 1.0025,               0.006007,               0.006007,               0.006007
                    124,                 1.2373,                0.78778,                 1.0539,                0.89781,                0.81371,                0.88911,                0.68485,                 1.0255,                0.65143,                 1.0021,               0.005974,               0.005974,               0.005974
                    125,                 1.2355,                0.78515,                  1.052,                0.89986,                  0.814,                0.88977,                0.68595,                 1.0243,                0.64975,                 1.0014,               0.005941,               0.005941,               0.005941
                    126,                 1.2331,                0.78237,                 1.0526,                0.89817,                0.81607,                0.89049,                0.68622,                 1.0229,                0.64812,                 1.0008,               0.005908,               0.005908,               0.005908
                    127,                 1.2311,                0.78151,                 1.0502,                 0.8987,                0.81672,                0.89151,                0.68724,                  1.022,                0.64651,                 1.0004,               0.005875,               0.005875,               0.005875
                    128,                 1.2281,                0.77803,                 1.0476,                0.89919,                0.81666,                0.89201,                  0.688,                 1.0213,                 0.6448,                0.99997,               0.005842,               0.005842,               0.005842
                    129,                 1.2274,                0.77939,                 1.0476,                0.89795,                0.81815,                0.89259,                0.68844,                 1.0207,                0.64317,                0.99953,               0.005809,               0.005809,               0.005809
                    130,                 1.2267,                0.77848,                 1.0486,                 0.8999,                0.81761,                0.89278,                0.68943,                 1.0193,                 0.6415,                0.99891,               0.005776,               0.005776,               0.005776
                    131,                  1.223,                0.77422,                 1.0474,                0.90244,                0.81784,                0.89341,                0.69003,                 1.0191,                 0.6402,                0.99862,               0.005743,               0.005743,               0.005743
                    132,                 1.2193,                0.77291,                  1.046,                 0.9049,                0.81791,                0.89398,                0.69049,                 1.0179,                 0.6387,                0.99794,                0.00571,                0.00571,                0.00571
                    133,                 1.2168,                0.76965,                 1.0457,                0.90458,                0.81871,                 0.8945,                 0.6915,                  1.018,                0.63742,                0.99774,               0.005677,               0.005677,               0.005677
                    134,                 1.2127,                0.76619,                 1.0424,                0.90645,                0.81816,                0.89537,                0.69198,                 1.0177,                0.63588,                0.99728,               0.005644,               0.005644,               0.005644
                    135,                 1.2138,                0.76844,                  1.043,                0.90713,                0.81786,                0.89565,                0.69263,                  1.016,                0.63403,                0.99667,               0.005611,               0.005611,               0.005611
                    136,                 1.2095,                0.76407,                 1.0395,                0.90925,                0.81755,                0.89652,                0.69323,                 1.0144,                0.63208,                0.99594,               0.005578,               0.005578,               0.005578
                    137,                 1.2093,                0.76349,                 1.0415,                0.90891,                0.81975,                0.89675,                0.69351,                 1.0132,                0.63035,                0.99536,               0.005545,               0.005545,               0.005545
                    138,                 1.2054,                 0.7605,                 1.0395,                0.90928,                0.82001,                0.89671,                0.69463,                 1.0114,                0.62836,                 0.9946,               0.005512,               0.005512,               0.005512
                    139,                 1.2064,                 0.7606,                 1.0396,                0.91039,                0.82051,                0.89756,                0.69513,                 1.0097,                0.62673,                0.99383,               0.005479,               0.005479,               0.005479
                    140,                 1.2034,                0.75854,                 1.0399,                0.91165,                0.82053,                  0.898,                0.69591,                 1.0095,                0.62522,                0.99348,               0.005446,               0.005446,               0.005446
                    141,                 1.1996,                0.75513,                 1.0386,                0.90996,                0.82223,                0.89834,                 0.6969,                 1.0074,                0.62342,                0.99269,               0.005413,               0.005413,               0.005413
                    142,                 1.1974,                0.75179,                 1.0373,                0.90881,                0.82336,                0.89914,                0.69746,                 1.0053,                 0.6212,                 0.9918,                0.00538,                0.00538,                0.00538
                    143,                 1.1982,                0.75235,                 1.0357,                0.91005,                0.82363,                0.89956,                0.69845,                 1.0035,                0.61961,                0.99093,               0.005347,               0.005347,               0.005347
                    144,                 1.1968,                0.75052,                 1.0369,                0.91065,                0.82347,                0.90007,                0.69901,                 1.0019,                0.61784,                0.99023,               0.005314,               0.005314,               0.005314
                    145,                 1.1897,                0.74532,                 1.0321,                0.91148,                0.82404,                0.90065,                0.69954,                 1.0016,                0.61645,                0.98982,               0.005281,               0.005281,               0.005281
                    146,                 1.1913,                0.74788,                 1.0363,                0.91091,                0.82437,                0.90143,                0.70063,                 1.0005,                0.61498,                0.98934,               0.005248,               0.005248,               0.005248
                    147,                 1.1899,                0.74776,                 1.0342,                0.90692,                0.82928,                0.90185,                0.70092,                0.99835,                0.61337,                0.98858,               0.005215,               0.005215,               0.005215
                    148,                 1.1854,                0.74321,                 1.0329,                0.90861,                0.82875,                0.90279,                0.70245,                0.99698,                0.61203,                0.98812,               0.005182,               0.005182,               0.005182
                    149,                 1.1806,                 0.7377,                 1.0316,                0.90749,                0.83127,                0.90294,                0.70293,                0.99639,                0.61063,                0.98773,               0.005149,               0.005149,               0.005149
                    150,                   1.18,                0.73811,                 1.0321,                0.90808,                0.83241,                0.90329,                0.70336,                0.99599,                0.60961,                0.98748,               0.005116,               0.005116,               0.005116
                    151,                 1.1796,                0.73781,                 1.0299,                0.90727,                0.83422,                0.90426,                0.70399,                0.99474,                0.60788,                0.98693,               0.005083,               0.005083,               0.005083
                    152,                 1.1762,                0.73452,                 1.0297,                0.90735,                0.83466,                0.90474,                0.70453,                0.99348,                0.60634,                0.98644,                0.00505,                0.00505,                0.00505
                    153,                 1.1759,                0.73415,                 1.0291,                0.91081,                0.83338,                0.90554,                0.70568,                0.99233,                0.60537,                0.98602,               0.005017,               0.005017,               0.005017
                    154,                 1.1711,                0.73108,                 1.0264,                0.90932,                0.83554,                0.90645,                 0.7062,                0.99171,                0.60379,                0.98567,               0.004984,               0.004984,               0.004984
